title,description
"Buttons must have discernible text: <button role=""button"" class=""owl-dot""><span></span></button>","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Buttons must have discernible text: <button role=""button"" class=""owl-dot active""><span></span></button>","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Buttons must have discernible text: <button role=""button"" class=""owl-dot active""><span></span></button>","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Buttons must have discernible text: <button role=""button"" class=""owl-dot""><span></span></button>","Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation"""
"Elements must have sufficient color contrast: <div class=""listS1ItemCatName"" style=""color:#DEC352"">Enquêtes et poursuites</div>","Fix any of the following:
  Element has insufficient color contrast of 1.74 (foreground color: #dec352, background color: #ffffff, font size: 8.3pt (11px), font weight: normal). Expected contrast ratio of 4.5:1"
"Elements must have sufficient color contrast: <div class=""subtitle"">Ligne sans frais :</div>","Fix any of the following:
  Element has insufficient color contrast of 3.44 (foreground color: #bcbec0, background color: #5c5f62, font size: 12.0pt (16px), font weight: normal). Expected contrast ratio of 4.5:1"
"id attribute value must be unique: <li id=""tab1"" class=""tab first active"">
              <a href=""fr"">Accueil</a>
          </li>","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab1"
"id attribute value must be unique: <li id=""tab6"" class=""tab first"">
              <a href=""fr/nous-joindre"">Nous joindre</a>
          </li>","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab6"
"id attribute value must be unique: <li id=""tab4"" class=""tab first"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab4"
"id attribute value must be unique: <ul class=""subnav"" id=""subnav_4"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav_4"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_117"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_117"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_119"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_119"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_118"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_118"
"id attribute value must be unique: <li id=""tab439"" class=""tab"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab439"
"id attribute value must be unique: <ul class=""subnav"" id=""subnav_439"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav_439"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_442"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_442"
"id attribute value must be unique: <li id=""tab8"" class=""tab"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab8"
"id attribute value must be unique: <ul class=""subnav"" id=""subnav_8"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav_8"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_173"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_173"
"id attribute value must be unique: <li id=""tab109"" class=""tab"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab109"
"id attribute value must be unique: <ul class=""subnav"" id=""subnav_109"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav_109"
"id attribute value must be unique: <li id=""tab107"" class=""tab"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab107"
"id attribute value must be unique: <ul class=""subnav"" id=""subnav_107"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav_107"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_330"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_330"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_181"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_181"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_182"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_182"
"id attribute value must be unique: <ul class=""subnav2"" id=""subnav2_183"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav2_183"
"id attribute value must be unique: <li id=""tab110"" class=""tab last"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: tab110"
"id attribute value must be unique: <ul class=""subnav"" id=""subnav_110"">","Fix any of the following:
  Document has multiple static elements with the same id attribute: subnav_110"
